order_id,item_id,customer_name,customer_city,customer_state,customer_zipcode,product_name,brand_name,category_name,model_year,total_units,list_price,discount,item_sale_price,revenue,order_date,required_date,shipped_date,order_status,store_name,store_city,store_state,store_zipcode,sales_rep
6,4,Sharyn Hopkins,Baldwinsville,NY,13027,Surly Wednesday Frameset - 2016,Surly,Mountain Bikes,2016,2,999.99,0.07,929.9907,1859.9814,2016-01-04,2016-01-07,2016-01-05,4,Baldwin Bikes,Baldwin,NY,11432,Marcelene Boyer
6,5,Sharyn Hopkins,Baldwinsville,NY,13027,Trek Conduit+ - 2016,Trek,Electric Bikes,2016,2,2999.99,0.07,2789.9907,5579.9814,2016-01-04,2016-01-07,2016-01-05,4,Baldwin Bikes,Baldwin,NY,11432,Marcelene Boyer
7,1,Laureen Paul,Bellmore,NY,11710,Electra Moto 1 - 2016,Electra,Cruisers Bicycles,2016,1,529.99,0.07,492.8907,492.8907,2016-01-04,2016-01-07,2016-01-05,4,Baldwin Bikes,Baldwin,NY,11432,Marcelene Boyer
7,2,Laureen Paul,Bellmore,NY,11710,Surly Wednesday Frameset - 2016,Surly,Mountain Bikes,2016,1,999.99,0.10,899.9910,899.9910,2016-01-04,2016-01-07,2016-01-05,4,Baldwin Bikes,Baldwin,NY,11432,Marcelene Boyer
7,3,Laureen Paul,Bellmore,NY,11710,Pure Cycles Vine 8-Speed - 2016,Pure Cycles,Cruisers Bicycles,2016,2,429.00,0.10,386.1000,772.2000,2016-01-04,2016-01-07,2016-01-05,4,Baldwin Bikes,Baldwin,NY,11432,Marcelene Boyer
8,1,Leslie Higgins,Saratoga Springs,NY,12866,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Electra,Children Bicycles,2016,1,269.99,0.05,256.4905,256.4905,2016-01-04,2016-01-05,2016-01-05,4,Baldwin Bikes,Baldwin,NY,11432,Venita Daniel
8,2,Leslie Higgins,Saratoga Springs,NY,12866,Electra Townie Original 7D EQ - Women's - 2016,Electra,Cruisers Bicycles,2016,2,599.99,0.07,557.9907,1115.9814,2016-01-04,2016-01-05,2016-01-05,4,Baldwin Bikes,Baldwin,NY,11432,Venita Daniel
9,1,Neil Mccall,San Carlos,CA,94070,Trek Slash 8 27.5 - 2016,Trek,Mountain Bikes,2016,2,3999.99,0.10,3599.9910,7199.9820,2016-01-05,2016-01-08,2016-01-08,4,Santa Cruz Bikes,Santa Cruz,CA,95060,Mireya Copeland
10,1,Alane Munoz,Yonkers,NY,10701,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Electra,Cruisers Bicycles,2016,1,269.99,0.10,242.9910,242.9910,2016-01-05,2016-01-06,2016-01-06,4,Baldwin Bikes,Baldwin,NY,11432,Marcelene Boyer
11,1,Tarra Guerrero,Auburn,NY,13021,Trek Remedy 29 Carbon Frameset - 2016,Trek,Mountain Bikes,2016,1,1799.99,0.05,1709.9905,1709.9905,2016-01-05,2016-01-08,2016-01-07,4,Baldwin Bikes,Baldwin,NY,11432,Venita Daniel
11,2,Tarra Guerrero,Auburn,NY,13021,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Electra,Children Bicycles,2016,2,269.99,0.10,242.9910,485.9820,2016-01-05,2016-01-08,2016-01-07,4,Baldwin Bikes,Baldwin,NY,11432,Venita Daniel
11,3,Tarra Guerrero,Auburn,NY,13021,Electra Townie Original 7D EQ - 2016,Electra,Cruisers Bicycles,2016,2,599.99,0.20,479.9920,959.9840,2016-01-05,2016-01-08,2016-01-07,4,Baldwin Bikes,Baldwin,NY,11432,Venita Daniel
12,1,Marvin Mullins,San Diego,CA,92111,Trek Fuel EX 8 29 - 2016,Trek,Mountain Bikes,2016,2,2899.99,0.10,2609.9910,5219.9820,2016-01-06,2016-01-08,2016-01-09,4,Santa Cruz Bikes,Santa Cruz,CA,95060,Mireya Copeland
12,2,Marvin Mullins,San Diego,CA,92111,Surly Straggler 650b - 2016,Surly,Cyclocross Bicycles,2016,1,1680.99,0.05,1596.9405,1596.9405,2016-01-06,2016-01-08,2016-01-09,4,Santa Cruz Bikes,Santa Cruz,CA,95060,Mireya Copeland
13,1,Patience Clayton,Niagara Falls,NY,14304,Electra Cruiser 1 (24-Inch) - 2016,Electra,Cruisers Bicycles,2016,1,269.99,0.10,242.9910,242.9910,2016-01-08,2016-01-11,2016-01-11,4,Baldwin Bikes,Baldwin,NY,11432,Marcelene Boyer
13,2,Patience Clayton,Niagara Falls,NY,14304,Pure Cycles Vine 8-Speed - 2016,Pure Cycles,Cruisers Bicycles,2016,2,429.00,0.05,407.5500,815.1000,2016-01-08,2016-01-11,2016-01-11,4,Baldwin Bikes,Baldwin,NY,11432,Marcelene Boyer
13,3,Patience Clayton,Niagara Falls,NY,14304,Electra Townie Original 7D EQ - Women's - 2016,Electra,Cruisers Bicycles,2016,2,599.99,0.10,539.9910,1079.9820,2016-01-08,2016-01-11,2016-01-11,4,Baldwin Bikes,Baldwin,NY,11432,Marcelene Boyer
13,4,Patience Clayton,Niagara Falls,NY,14304,Electra Townie Original 7D EQ - 2016,Electra,Cruisers Bicycles,2016,2,599.99,0.05,569.9905,1139.9810,2016-01-08,2016-01-11,2016-01-11,4,Baldwin Bikes,Baldwin,NY,11432,Marcelene Boyer
14,1,Maribel William,Torrance,CA,90505,Surly Ice Cream Truck Frameset - 2016,Surly,Mountain Bikes,2016,1,469.99,0.07,437.0907,437.0907,2016-01-09,2016-01-11,2016-01-12,4,Santa Cruz Bikes,Santa Cruz,CA,95060,Genna Serrano
15,1,Ellsworth Michael,Carmel,NY,10512,Electra Townie Original 21D - 2016,Electra,Cruisers Bicycles,2016,2,549.99,0.07,511.4907,1022.9814,2016-01-09,2016-01-10,2016-01-12,4,Baldwin Bikes,Baldwin,NY,11432,Venita Daniel
15,2,Ellsworth Michael,Carmel,NY,10512,Trek Remedy 29 Carbon Frameset - 2016,Trek,Mountain Bikes,2016,1,1799.99,0.07,1673.9907,1673.9907,2016-01-09,2016-01-10,2016-01-12,4,Baldwin Bikes,Baldwin,NY,11432,Venita Daniel
15,3,Ellsworth Michael,Carmel,NY,10512,Pure Cycles Western 3-Speed - Women's - 2015/2016,Pure Cycles,Cruisers Bicycles,2016,2,449.00,0.05,426.5500,853.1000,2016-01-09,2016-01-10,2016-01-12,4,Baldwin Bikes,Baldwin,NY,11432,Venita Daniel
15,4,Ellsworth Michael,Carmel,NY,10512,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Electra,Children Bicycles,2016,2,299.99,0.20,239.9920,479.9840,2016-01-09,2016-01-10,2016-01-12,4,Baldwin Bikes,Baldwin,NY,11432,Venita Daniel
16,1,Lea Key,Banning,CA,92220,Trek Remedy 29 Carbon Frameset - 2016,Trek,Mountain Bikes,2016,1,1799.99,0.20,1439.9920,1439.9920,2016-01-12,2016-01-15,2016-01-15,4,Santa Cruz Bikes,Santa Cruz,CA,95060,Genna Serrano
16,2,Lea Key,Banning,CA,92220,Electra Cruiser 1 (24-Inch) - 2016,Electra,Children Bicycles,2016,1,269.99,0.05,256.4905,256.4905,2016-01-12,2016-01-15,2016-01-15,4,Santa Cruz Bikes,Santa Cruz,CA,95060,Genna Serrano
16,3,Lea Key,Banning,CA,92220,Electra Cruiser 1 (24-Inch) - 2016,Electra,Cruisers Bicycles,2016,2,269.99,0.07,251.0907,502.1814,2016-01-12,2016-01-15,2016-01-15,4,Santa Cruz Bikes,Santa Cruz,CA,95060,Genna Serrano
16,4,Lea Key,Banning,CA,92220,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Electra,Cruisers Bicycles,2016,1,269.99,0.07,251.0907,251.0907,2016-01-12,2016-01-15,2016-01-15,4,Santa Cruz Bikes,Santa Cruz,CA,95060,Genna Serrano
17,1,Sindy Anderson,Pomona,CA,91768,Trek Remedy 29 Carbon Frameset - 2016,Trek,Mountain Bikes,2016,1,1799.99,0.07,1673.9907,1673.9907,2016-01-12,2016-01-14,2016-01-14,4,Santa Cruz Bikes,Santa Cruz,CA,95060,Genna Serrano
17,2,Sindy Anderson,Pomona,CA,91768,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Electra,Children Bicycles,2016,1,299.99,0.10,269.9910,269.9910,2016-01-12,2016-01-14,2016-01-14,4,Santa Cruz Bikes,Santa Cruz,CA,95060,Genna Serrano
17,3,Sindy Anderson,Pomona,CA,91768,Heller Shagamaw Frame - 2016,Heller,Mountain Bikes,2016,1,1320.99,0.10,1188.8910,1188.8910,2016-01-12,2016-01-14,2016-01-14,4,Santa Cruz Bikes,Santa Cruz,CA,95060,Genna Serrano
17,4,Sindy Anderson,Pomona,CA,91768,Electra Townie Original 7D EQ - Women's - 2016,Electra,Cruisers Bicycles,2016,2,599.99,0.20,479.9920,959.9840,2016-01-12,2016-01-14,2016-01-14,4,Santa Cruz Bikes,Santa Cruz,CA,95060,Genna Serrano
18,1,Lanita Burton,Coachella,CA,92236,Ritchey Timberwolf Frameset - 2016,Ritchey,Mountain Bikes,2016,2,749.99,0.20,599.9920,1199.9840,2016-01-14,2016-01-17,2016-01-15,4,Santa Cruz Bikes,Santa Cruz,CA,95060,Genna Serrano
18,2,Lanita Burton,Coachella,CA,92236,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Electra,Children Bicycles,2016,1,269.99,0.05,256.4905,256.4905,2016-01-14,2016-01-17,2016-01-15,4,Santa Cruz Bikes,Santa Cruz,CA,95060,Genna Serrano
18,3,Lanita Burton,Coachella,CA,92236,Trek Slash 8 27.5 - 2016,Trek,Mountain Bikes,2016,1,3999.99,0.10,3599.9910,3599.9910,2016-01-14,2016-01-17,2016-01-15,4,Santa Cruz Bikes,Santa Cruz,CA,95060,Genna Serrano
18,4,Lanita Burton,Coachella,CA,92236,Electra Townie Original 7D - 2015/2016,Electra,Comfort Bicycles,2016,2,499.99,0.05,474.9905,949.9810,2016-01-14,2016-01-17,2016-01-15,4,Santa Cruz Bikes,Santa Cruz,CA,95060,Genna Serrano
18,5,Lanita Burton,Coachella,CA,92236,Trek Conduit+ - 2016,Trek,Electric Bikes,2016,2,2999.99,0.10,2699.9910,5399.9820,2016-01-14,2016-01-17,2016-01-15,4,Santa Cruz Bikes,Santa Cruz,CA,95060,Genna Serrano
19,1,Norine Huffman,Encino,CA,91316,Surly Straggler - 2016,Surly,Cyclocross Bicycles,2016,1,1549.00,0.07,1440.5700,1440.5700,2016-01-14,2016-01-17,2016-01-16,4,Santa Cruz Bikes,Santa Cruz,CA,95060,Mireya Copeland
19,2,Norine Huffman,Encino,CA,91316,Trek Conduit+ - 2016,Trek,Electric Bikes,2016,2,2999.99,0.20,2399.9920,4799.9840,2016-01-14,2016-01-17,2016-01-16,4,Santa Cruz Bikes,Santa Cruz,CA,95060,Mireya Copeland
20,1,Randee Pitts,Canyon Country,CA,91387,Trek Conduit+ - 2016,Trek,Electric Bikes,2016,1,2999.99,0.07,2789.9907,2789.9907,2016-01-14,2016-01-16,2016-01-17,4,Santa Cruz Bikes,Santa Cruz,CA,95060,Mireya Copeland
20,2,Randee Pitts,Canyon Country,CA,91387,Surly Straggler - 2016,Surly,Cyclocross Bicycles,2016,2,1549.00,0.07,1440.5700,2881.1400,2016-01-14,2016-01-16,2016-01-17,4,Santa Cruz Bikes,Santa Cruz,CA,95060,Mireya Copeland
21,1,Neoma Daugherty,Mount Vernon,NY,10550,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Electra,Cruisers Bicycles,2016,1,269.99,0.05,256.4905,256.4905,2016-01-15,2016-01-16,2016-01-18,4,Baldwin Bikes,Baldwin,NY,11432,Marcelene Boyer
21,2,Neoma Daugherty,Mount Vernon,NY,10550,Pure Cycles Vine 8-Speed - 2016,Pure Cycles,Cruisers Bicycles,2016,1,429.00,0.10,386.1000,386.1000,2016-01-15,2016-01-16,2016-01-18,4,Baldwin Bikes,Baldwin,NY,11432,Marcelene Boyer
21,3,Neoma Daugherty,Mount Vernon,NY,10550,Surly Straggler - 2016,Surly,Cyclocross Bicycles,2016,1,1549.00,0.07,1440.5700,1440.5700,2016-01-15,2016-01-16,2016-01-18,4,Baldwin Bikes,Baldwin,NY,11432,Marcelene Boyer
22,1,Tangela Hurley,Campbell,CA,95008,Electra Moto 1 - 2016,Electra,Cruisers Bicycles,2016,2,529.99,0.20,423.9920,847.9840,2016-01-16,2016-01-18,2016-01-17,4,Santa Cruz Bikes,Santa Cruz,CA,95060,Mireya Copeland
22,2,Tangela Hurley,Campbell,CA,95008,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Electra,Children Bicycles,2016,1,269.99,0.05,256.4905,256.4905,2016-01-16,2016-01-18,2016-01-17,4,Santa Cruz Bikes,Santa Cruz,CA,95060,Mireya Copeland
23,1,Drucilla Gilliam,Santa Clara,CA,95050,Trek Fuel EX 8 29 - 2016,Trek,Mountain Bikes,2016,2,2899.99,0.05,2754.9905,5509.9810,2016-01-16,2016-01-19,2016-01-19,4,Santa Cruz Bikes,Santa Cruz,CA,95060,Mireya Copeland
23,2,Drucilla Gilliam,Santa Clara,CA,95050,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Electra,Children Bicycles,2016,2,299.99,0.10,269.9910,539.9820,2016-01-16,2016-01-19,2016-01-19,4,Santa Cruz Bikes,Santa Cruz,CA,95060,Mireya Copeland
23,3,Drucilla Gilliam,Santa Clara,CA,95050,Electra Cruiser 1 (24-Inch) - 2016,Electra,Cruisers Bicycles,2016,1,269.99,0.20,215.9920,215.9920,2016-01-16,2016-01-19,2016-01-19,4,Santa Cruz Bikes,Santa Cruz,CA,95060,Mireya Copeland
24,1,Ashton Lott,Floral Park,NY,11001,Surly Wednesday Frameset - 2016,Surly,Mountain Bikes,2016,2,999.99,0.10,899.9910,1799.9820,2016-01-18,2016-01-20,2016-01-19,4,Baldwin Bikes,Baldwin,NY,11432,Venita Daniel
24,2,Ashton Lott,Floral Park,NY,11001,Pure Cycles Western 3-Speed - Women's - 2015/2016,Pure Cycles,Cruisers Bicycles,2016,2,449.00,0.07,417.5700,835.1400,2016-01-18,2016-01-20,2016-01-19,4,Baldwin Bikes,Baldwin,NY,11432,Venita Daniel
25,1,Sam Lester,Baldwin,NY,11510,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Electra,Children Bicycles,2016,2,299.99,0.20,239.9920,479.9840,2016-01-18,2016-01-21,2016-01-21,4,Baldwin Bikes,Baldwin,NY,11432,Marcelene Boyer
25,2,Sam Lester,Baldwin,NY,11510,Surly Straggler - 2016,Surly,Cyclocross Bicycles,2016,2,1549.00,0.20,1239.2000,2478.4000,2016-01-18,2016-01-21,2016-01-21,4,Baldwin Bikes,Baldwin,NY,11432,Marcelene Boyer
25,3,Sam Lester,Baldwin,NY,11510,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Electra,Children Bicycles,2016,1,269.99,0.20,215.9920,215.9920,2016-01-18,2016-01-21,2016-01-21,4,Baldwin Bikes,Baldwin,NY,11432,Marcelene Boyer
25,4,Sam Lester,Baldwin,NY,11510,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Electra,Cruisers Bicycles,2016,1,269.99,0.20,215.9920,215.9920,2016-01-18,2016-01-21,2016-01-21,4,Baldwin Bikes,Baldwin,NY,11432,Marcelene Boyer
25,5,Sam Lester,Baldwin,NY,11510,Electra Cruiser 1 (24-Inch) - 2016,Electra,Children Bicycles,2016,1,269.99,0.10,242.9910,242.9910,2016-01-18,2016-01-21,2016-01-21,4,Baldwin Bikes,Baldwin,NY,11432,Marcelene Boyer
26,1,Jackeline Colon,Wappingers Falls,NY,12590,Trek Slash 8 27.5 - 2016,Trek,Mountain Bikes,2016,1,3999.99,0.05,3799.9905,3799.9905,2016-01-18,2016-01-21,2016-01-19,4,Baldwin Bikes,Baldwin,NY,11432,Venita Daniel
26,2,Jackeline Colon,Wappingers Falls,NY,12590,Ritchey Timberwolf Frameset - 2016,Ritchey,Mountain Bikes,2016,1,749.99,0.20,599.9920,599.9920,2016-01-18,2016-01-21,2016-01-19,4,Baldwin Bikes,Baldwin,NY,11432,Venita Daniel
26,3,Jackeline Colon,Wappingers Falls,NY,12590,Electra Townie Original 21D - 2016,Electra,Cruisers Bicycles,2016,1,549.99,0.20,439.9920,439.9920,2016-01-18,2016-01-21,2016-01-19,4,Baldwin Bikes,Baldwin,NY,11432,Venita Daniel
26,4,Jackeline Colon,Wappingers Falls,NY,12590,Electra Cruiser 1 (24-Inch) - 2016,Electra,Children Bicycles,2016,2,269.99,0.07,251.0907,502.1814,2016-01-18,2016-01-21,2016-01-19,4,Baldwin Bikes,Baldwin,NY,11432,Venita Daniel
27,1,Pamala Henry,Bronx,NY,10451,Heller Shagamaw Frame - 2016,Heller,Mountain Bikes,2016,1,1320.99,0.20,1056.7920,1056.7920,2016-01-19,2016-01-21,2016-01-20,4,Baldwin Bikes,Baldwin,NY,11432,Venita Daniel
27,2,Pamala Henry,Bronx,NY,10451,Pure Cycles William 3-Speed - 2016,Pure Cycles,Cruisers Bicycles,2016,1,449.00,0.20,359.2000,359.2000,2016-01-19,2016-01-21,2016-01-20,4,Baldwin Bikes,Baldwin,NY,11432,Venita Daniel
27,3,Pamala Henry,Bronx,NY,10451,Electra Townie Original 7D EQ - 2016,Electra,Comfort Bicycles,2016,2,599.99,0.07,557.9907,1115.9814,2016-01-19,2016-01-21,2016-01-20,4,Baldwin Bikes,Baldwin,NY,11432,Venita Daniel
27,4,Pamala Henry,Bronx,NY,10451,Trek Remedy 29 Carbon Frameset - 2016,Trek,Mountain Bikes,2016,1,1799.99,0.07,1673.9907,1673.9907,2016-01-19,2016-01-21,2016-01-20,4,Baldwin Bikes,Baldwin,NY,11432,Venita Daniel
28,1,Eleni Gordon,Richmond Hill,NY,11418,Heller Shagamaw Frame - 2016,Heller,Mountain Bikes,2016,1,1320.99,0.05,1254.9405,1254.9405,2016-01-19,2016-01-20,2016-01-21,4,Baldwin Bikes,Baldwin,NY,11432,Marcelene Boyer
28,2,Eleni Gordon,Richmond Hill,NY,11418,Trek Slash 8 27.5 - 2016,Trek,Mountain Bikes,2016,2,3999.99,0.20,3199.9920,6399.9840,2016-01-19,2016-01-20,2016-01-21,4,Baldwin Bikes,Baldwin,NY,11432,Marcelene Boyer
28,3,Eleni Gordon,Richmond Hill,NY,11418,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Electra,Cruisers Bicycles,2016,2,269.99,0.10,242.9910,485.9820,2016-01-19,2016-01-20,2016-01-21,4,Baldwin Bikes,Baldwin,NY,11432,Marcelene Boyer
28,4,Eleni Gordon,Richmond Hill,NY,11418,Surly Ice Cream Truck Frameset - 2016,Surly,Mountain Bikes,2016,1,469.99,0.05,446.4905,446.4905,2016-01-19,2016-01-20,2016-01-21,4,Baldwin Bikes,Baldwin,NY,11432,Marcelene Boyer
29,1,Laureen Barry,Orchard Park,NY,14127,Electra Townie Original 21D - 2016,Electra,Comfort Bicycles,2016,2,549.99,0.05,522.4905,1044.9810,2016-01-20,2016-01-22,2016-01-21,4,Baldwin Bikes,Baldwin,NY,11432,Marcelene Boyer
29,2,Laureen Barry,Orchard Park,NY,14127,Surly Ice Cream Truck Frameset - 2016,Surly,Mountain Bikes,2016,1,469.99,0.20,375.9920,375.9920,2016-01-20,2016-01-22,2016-01-21,4,Baldwin Bikes,Baldwin,NY,11432,Marcelene Boyer
29,3,Laureen Barry,Orchard Park,NY,14127,Electra Cruiser 1 (24-Inch) - 2016,Electra,Children Bicycles,2016,2,269.99,0.10,242.9910,485.9820,2016-01-20,2016-01-22,2016-01-21,4,Baldwin Bikes,Baldwin,NY,11432,Marcelene Boyer
29,4,Laureen Barry,Orchard Park,NY,14127,Trek Remedy 29 Carbon Frameset - 2016,Trek,Mountain Bikes,2016,1,1799.99,0.20,1439.9920,1439.9920,2016-01-20,2016-01-22,2016-01-21,4,Baldwin Bikes,Baldwin,NY,11432,Marcelene Boyer
29,5,Laureen Barry,Orchard Park,NY,14127,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Electra,Cruisers Bicycles,2016,2,269.99,0.05,256.4905,512.9810,2016-01-20,2016-01-22,2016-01-21,4,Baldwin Bikes,Baldwin,NY,11432,Marcelene Boyer
30,1,Yvone Guerrero,Merrick,NY,11566,Electra Townie Original 7D EQ - 2016,Electra,Comfort Bicycles,2016,1,599.99,0.05,569.9905,569.9905,2016-01-20,2016-01-21,2016-01-21,4,Baldwin Bikes,Baldwin,NY,11432,Marcelene Boyer
30,2,Yvone Guerrero,Merrick,NY,11566,Pure Cycles Vine 8-Speed - 2016,Pure Cycles,Cruisers Bicycles,2016,1,429.00,0.07,398.9700,398.9700,2016-01-20,2016-01-21,2016-01-21,4,Baldwin Bikes,Baldwin,NY,11432,Marcelene Boyer
30,3,Yvone Guerrero,Merrick,NY,11566,Pure Cycles William 3-Speed - 2016,Pure Cycles,Cruisers Bicycles,2016,1,449.00,0.10,404.1000,404.1000,2016-01-20,2016-01-21,2016-01-21,4,Baldwin Bikes,Baldwin,NY,11432,Marcelene Boyer
30,4,Yvone Guerrero,Merrick,NY,11566,Trek Fuel EX 8 29 - 2016,Trek,Mountain Bikes,2016,1,2899.99,0.10,2609.9910,2609.9910,2016-01-20,2016-01-21,2016-01-21,4,Baldwin Bikes,Baldwin,NY,11432,Marcelene Boyer
30,5,Yvone Guerrero,Merrick,NY,11566,Trek Slash 8 27.5 - 2016,Trek,Mountain Bikes,2016,2,3999.99,0.10,3599.9910,7199.9820,2016-01-20,2016-01-21,2016-01-21,4,Baldwin Bikes,Baldwin,NY,11432,Marcelene Boyer
31,1,Edgar Quinn,Harlingen,TX,78552,Surly Straggler 650b - 2016,Surly,Cyclocross Bicycles,2016,2,1680.99,0.05,1596.9405,3193.8810,2016-01-20,2016-01-22,2016-01-22,4,Rowlett Bikes,Rowlett,TX,75088,Kali Vargas
31,2,Edgar Quinn,Harlingen,TX,78552,Trek Conduit+ - 2016,Trek,Electric Bikes,2016,2,2999.99,0.20,2399.9920,4799.9840,2016-01-20,2016-01-22,2016-01-22,4,Rowlett Bikes,Rowlett,TX,75088,Kali Vargas
32,1,Kimbery Nieves,San Carlos,CA,94070,Trek Remedy 29 Carbon Frameset - 2016,Trek,Mountain Bikes,2016,2,1799.99,0.07,1673.9907,3347.9814,2016-01-21,2016-01-24,2016-01-22,4,Santa Cruz Bikes,Santa Cruz,CA,95060,Genna Serrano
32,2,Kimbery Nieves,San Carlos,CA,94070,Electra Townie Original 21D - 2016,Electra,Cruisers Bicycles,2016,2,549.99,0.07,511.4907,1022.9814,2016-01-21,2016-01-24,2016-01-22,4,Santa Cruz Bikes,Santa Cruz,CA,95060,Genna Serrano
32,3,Kimbery Nieves,San Carlos,CA,94070,Electra Townie Original 7D - 2015/2016,Electra,Comfort Bicycles,2016,2,499.99,0.10,449.9910,899.9820,2016-01-21,2016-01-24,2016-01-22,4,Santa Cruz Bikes,Santa Cruz,CA,95060,Genna Serrano
